year;sex;name;n;prop
1969;F;Betty;2133;0.00121006172279205
1969;F;Ashley;643;0.000364777162566942
1970;F;Amanda;3550;0.00193781946727978
1970;F;Betty;1967;0.0010737157442646
1970;F;Ashley;932;0.000508745843240776
1971;F;Amanda;4133;0.00235853901832733
1971;F;Betty;1763;0.00100607410822915
1971;F;Ashley;1164;0.000664248588757079
1972;F;Amanda;4181;0.00259282962610169
1972;F;Betty;1366;0.000847119174660346
1972;F;Ashley;1176;0.000729291471010664
1973;F;Amanda;5627;0.00362095249004029
1973;F;Betty;1323;0.000851345325097441
1973;F;Ashley;1253;0.00080630059890181
1974;F;Amanda;7476;0.00477346474621335
1974;F;Ashley;1626;0.00103820942714592
1974;F;Betty;1130;0.000721510856503622
1975;F;Amanda;12653;0.00810723358994813
1975;F;Ashley;1988;0.00127378332228064
1975;F;Betty;1021;0.000654191535235679
1976;F;Amanda;15591;0.00991856357366017
1976;F;Ashley;2292;0.00145810709453076
1976;F;Betty;908;0.000577644520869953
1977;F;Amanda;18280;0.01111327945703
1977;F;Ashley;2706;0.00164510581021461
1977;F;Betty;807;0.000490613595285732
1978;F;Amanda;20522;0.0124847985623197
1978;F;Ashley;3484;0.00211953212119295
1978;F;Betty;715;0.000434978606961239
1979;F;Amanda;31927;0.018529201469011
1979;F;Ashley;4450;0.0025826086552792
1979;F;Betty;711;0.000412637023349104
1980;F;Amanda;35819;0.0201204564808553
1980;F;Ashley;7296;0.00409835144711801
1980;F;Betty;658;0.000369615577330544
1981;F;Amanda;34373;0.0192239288782304
1981;F;Ashley;8877;0.00496467624740497
1981;F;Betty;662;0.000370239458801632
1982;F;Amanda;34210;0.0188618284229725
1982;F;Ashley;14851;0.00818816176292209
1982;F;Betty;635;0.000350109940034713
1983;F;Amanda;33754;0.0188664164484477
1983;F;Ashley;33290;0.0186070688975773
1983;F;Betty;563;0.000314682480905257
1984;F;Ashley;38759;0.0215019463757801
1984;F;Amanda;33906;0.0188096956530664
1984;F;Betty;503;0.000279044325886049
1985;F;Ashley;47007;0.0254696003276962
1985;F;Amanda;39050;0.0211582932924147
1985;F;Betty;502;0.000271996497638724
1986;F;Ashley;49674;0.0269274594602799
1986;F;Amanda;40522;0.0219663105900363
1986;F;Betty;407;0.000220628014662277
1987;F;Ashley;54845;0.029272929705472
1987;F;Amanda;41786;0.0223028287113293
1987;F;Betty;435;0.000232176578026809
1988;F;Ashley;49963;0.025991760752821
1988;F;Amanda;39451;0.0205232062418098
1988;F;Betty;395;0.000205486970305312
1989;F;Ashley;47585;0.0238906067767286
1989;F;Amanda;36827;0.0184894268312827
1989;F;Betty;399;0.000200322624858983
1990;F;Ashley;45553;0.0221809201140185
1990;F;Amanda;34405;0.0167526739517223
1990;F;Betty;406;0.00019769177806712
1991;F;Ashley;43482;0.0213883278618854
1991;F;Amanda;28887;0.0142092044281837
1991;F;Betty;345;0.000169701787230359
1992;F;Ashley;38452;0.0191860354880783
1992;F;Amanda;25034;0.0124909812859813
1992;F;Betty;296;0.000147692356820742
1993;F;Ashley;34847;0.0176795978141367
1993;F;Amanda;20809;0.0105574296471538
1993;F;Betty;292;0.000148145968425629
1994;F;Ashley;30278;0.0155361426463986
1994;F;Amanda;18715;0.00960297607594125
1994;F;Betty;275;0.00014110704893849
1995;F;Ashley;26603;0.0138482640868074
1995;F;Amanda;16345;0.00850843425549248
1995;F;Betty;234;0.00012180933715419
1996;F;Ashley;23676;0.0123526226105793
1996;F;Amanda;13973;0.00729021776219062
1996;F;Betty;217;0.000113216721848949
1997;F;Ashley;20895;0.0109480388627872
1997;F;Amanda;12239;0.00641268473996901
1997;F;Betty;189;9.90274872010902e-05
1998;F;Ashley;19871;0.0102549361330773
1998;F;Amanda;10908;0.00562935148405249
1998;F;Betty;194;0.000100118645755976
1999;F;Ashley;18132;0.00931837897619116
1999;F;Amanda;9741;0.00500608480074333
1999;F;Betty;182;9.35332546694679e-05
2000;F;Ashley;17997;0.00902349055709788
2000;F;Amanda;8550;0.00428687249337039
2000;F;Betty;174;8.72416156545553e-05
2001;F;Ashley;16524;0.00834726311913036
2001;F;Amanda;6963;0.00351742877623485
2001;F;Betty;153;7.72894733252811e-05
2002;F;Ashley;15339;0.00777226488632702
2002;F;Amanda;6132;0.00310708183603607
2002;F;Betty;127;6.43508468976811e-05
2003;F;Ashley;14512;0.00723815072032368
2003;F;Amanda;5339;0.00266293320671225
2003;F;Betty;142;7.08253446999699e-05
2004;F;Ashley;14370;0.00712775344818093
2004;F;Amanda;4677;0.00231986798031609
2004;F;Betty;136;6.7458209391274e-05
2005;F;Ashley;13270;0.00654498034039816
2005;F;Amanda;4088;0.00201626824653713
2005;F;Betty;132;6.51045519919034e-05
2006;F;Ashley;12340;0.00590922303294464
2006;F;Amanda;3355;0.00160659994129086
2006;F;Betty;135;6.46470915273522e-05
2007;F;Ashley;11423;0.00540374075290008
2007;F;Amanda;3038;0.00143714999626284
2007;F;Betty;134;6.33897628371366e-05
2008;F;Ashley;9402;0.00452030531532519
2008;F;Amanda;2439;0.00117262546948289
2008;F;Betty;137;6.58670312911669e-05
2009;F;Ashley;7811;0.00386339097012116
2009;F;Amanda;1952;0.000965476785773462
2009;F;Betty;148;7.32021333475781e-05
2010;F;Ashley;6306;0.00322252105804575
2010;F;Amanda;1655;0.000845745694745594
2010;F;Betty;132;6.74552457440595e-05
2011;F;Ashley;5398;0.00279205644940212
2011;F;Amanda;1409;0.000728789836459354
2011;F;Betty;167;8.63789231289653e-05
2012;F;Ashley;4696;0.00242806420306393
2012;F;Amanda;1228;0.00063493672090343
2012;F;Betty;140;7.2386922578567e-05
2013;F;Ashley;3936;0.00204898297876106
2013;F;Amanda;1064;0.000553891740193539
2013;F;Betty;174;9.05800402196202e-05
2014;F;Ashley;3547;0.00182125980653672
2014;F;Amanda;1048;0.000538111157950515
2014;F;Betty;193;9.90987151569174e-05
2015;F;Ashley;3409;0.00176165787043521
2015;F;Amanda;1013;0.000523484723599549
2015;F;Betty;186;9.61186165740535e-05
